1,3095564
2,8610833
3,1494778
4,1209154
5,3711950
6,2781650
7,3372659
8,3991704
9,3564403
10,3357358
11,3980630
12,1804134
13,8539311
14,2604478
15,3058594
16,1770034
17,2438191
18,2003723
19,8510295
20,6106717
21,1634422
22,1773429
23,3577799
24,3072163
25,3345594
26,1278944
27,4838049
28,3844017
29,2004896
30,6965629
31,3051347
32,6691103
33,7979432
34,3082894
35,2898421
36,1616196
37,3079478
38,3699372
39,3983967
40,3060240
41,2100656
42,1956188
43,2796007
44,6967200
45,8631286
46,5176011
47,4607455
48,4596076
49,2438437
50,1013878
51,1017257
52,1614754
53,5190534
54,1998479
55,1796214
56,3341941
57,3602875
58,1622007
59,3081988
60,1771061
61,1646727
62,7531322
63,8617490
64,5378689
65,2298145
66,6416388
67,1757791
68,2805698
69,1990913
70,4616828
71,2900438
72,3091306
73,4851534
74,1958659
75,3051735
76,4333029
77,1199977
78,7741986
79,1236070
80,3727601
81,3396044
82,4813804
83,2759208
84,3048269
85,3327429
86,1273833
87,3051023
88,1626692
89,2091805
90,6419669
91,2299667
92,3346170
93,5401102
94,6678611
95,3393703
96,5175322
97,4851363
98,2288020
99,4888640
100,3054076
101,4793426
102,1622217
103,1005511
104,3569037
105,4848292
106,6964783
107,4015222
108,3042451
109,5406099
110,4322980
111,6382007
112,5396694
113,2099271
114,2602032
115,7494703
116,4454664
117,4871437
118,3333357
119,3365497
120,8596846
121,6382570
122,8607965
123,3699956
124,1775210
125,6698261
126,1780224
127,2095682
128,3394506
129,8799241
130,5190801
131,5662604
132,4012219
133,4624248
134,6685207
135,3075202
136,4130363
137,2450368
138,1648094
139,8583838
140,1257131
141,7984422
142,1962223
143,8336834
144,1776069
145,2588173
146,8525767
147,6430135
148,4613480
149,4848812
150,1786978
151,1982756
152,1967131
153,5396331
154,4011035
155,5179930
156,1625544
157,3319037
158,2105070
159,8624295
160,1968308
161,3044388
162,4335037
163,4333716
164,8523353
165,4784982
166,6709050
167,2903861
168,1954187
169,3699098
170,3385432
171,2432797
172,4132147
173,2575973
174,3589029
175,4794243
176,2784275
177,6384809
178,2778639
179,1759739
180,8585636
181,2900930
182,1804426
183,7516103
184,2794967
185,1003970
186,2451712
187,8526762
188,2450941
189,1642426
190,3100762
191,2438832
192,3036295
193,4798583
194,3562263
195,1964498
196,2300087
197,2790876
198,1761989
199,1957692
200,3979591
201,1646061
202,3397242
203,5194244
204,6382053
205,3397534
206,8526221
207,2601860
208,1946596
209,1992145
210,1947221
211,4604555
212,3083067
213,5397807
214,3607274
215,8547728
216,1795258
217,4830740
